VariableCode,RegionCode,YearCode,AggValue
rgdpna,BHS,2018,12586.54199218750000000
rkna,BHS,2018,1.02433383464813000
labsh,BHS,2018,0.39721027016639700
emp,BHS,2019,0.20731556415557900
rgdpna,BHS,2019,12739.76367187500000000
rkna,BHS,2019,1.05259931087494000
labsh,BHS,2019,0.39721027016639700
emp,BIH,2010,0.64835596084594700
rgdpna,BIH,2010,37279.18359375000000000
rkna,BIH,2010,0.79216027259826700
labsh,BIH,2010,0.67110228538513200
emp,BIH,2011,0.63596421480178800
rgdpna,BIH,2011,37636.88281250000000000
rkna,BIH,2011,0.81861352920532200
labsh,BIH,2011,0.67110228538513200
emp,BIH,2012,0.62352275848388700
rgdpna,BIH,2012,37327.56640625000000000
rkna,BIH,2012,0.84834164381027200
labsh,BIH,2012,0.67110228538513200
emp,BIH,2013,0.61575299501419100
rgdpna,BIH,2013,38204.71484375000000000
rkna,BIH,2013,0.87144142389297500
labsh,BIH,2013,0.67110228538513200
emp,BIH,2014,0.61552673578262300
rgdpna,BIH,2014,38645.53906250000000000
rkna,BIH,2014,0.90311139822006200
labsh,BIH,2014,0.67110228538513200
emp,BIH,2015,0.61687213182449300
rgdpna,BIH,2015,39839.36328125000000000
rkna,BIH,2015,0.93107974529266400
labsh,BIH,2015,0.67110228538513200
emp,BIH,2016,0.62190759181976300
rgdpna,BIH,2016,41094.22265625000000000
rkna,BIH,2016,0.96274232864379900
labsh,BIH,2016,0.67110228538513200
emp,BIH,2017,0.66434973478317300
rgdpna,BIH,2017,42397.50000000000000000
rkna,BIH,2017,1.00000000000000000
labsh,BIH,2017,0.67110228538513200
emp,BIH,2018,0.67694300413131700
rgdpna,BIH,2018,43983.20312500000000000
rkna,BIH,2018,1.04379820823669000
labsh,BIH,2018,0.67110228538513200
emp,BIH,2019,0.69026356935501100
rgdpna,BIH,2019,45161.16406250000000000
rkna,BIH,2019,1.08783793449402000
labsh,BIH,2019,0.67110228538513200
emp,BLR,2010,4.57667160034180000
rgdpna,BLR,2010,180875.82812500000000000
rkna,BLR,2010,0.77441316843032800
labsh,BLR,2010,0.59750729799270600
emp,BLR,2011,4.57121229171753000
rgdpna,BLR,2011,190905.78125000000000000
rkna,BLR,2011,0.84160006046295200
labsh,BLR,2011,0.50140392780304000
emp,BLR,2012,4.50341701507568000
rgdpna,BLR,2012,194241.93750000000000000
rkna,BLR,2012,0.88319623470306400
labsh,BLR,2012,0.53931570053100600
emp,BLR,2013,4.48149919509888000
rgdpna,BLR,2013,196088.96875000000000000
rkna,BLR,2013,0.92422783374786400
labsh,BLR,2013,0.62557667493820200
emp,BGR,2010,3.25347542762756000
avh,BGR,2010,1644.83793900480000000
hc,BGR,2010,3.08285951614380000
rgdpna,BGR,2010,118529.11718750000000000
rkna,BGR,2010,0.81346166133880600
